epoch,samples,hits025,hits050,acc025_percent,acc050_percent,delta_hits025_vs_e0,delta_hits050_vs_e0,train_seconds,source_sha256
0,9508,5514,4408,57.99326882625158,46.36095919225915,0,0,,85b9d4d05dfaf71c460bf252bc64261bb66c79b2c76af3cad7624eb4528ee640
1,9508,5467,4329,57.49894825410181,45.53007993268826,-47,-79,12182.523305416107,215be63af333682dd06bc49682c390ba0d00ba9f982578485cc3eedbb8725a52
2,9508,5443,4331,57.24652923853597,45.55111485065208,-71,-77,12293.731173276901,edb3f50a9aad10ebc9464efbe65ddadb9199653fca23f69c2ddff23c89b805fe
3,9508,5441,4332,57.225494320572146,45.56163230963399,-73,-76,12266.38728761673,2ba254f84e95566f63c14806e735b22fb61224787efbaf0184f5c65b3379cf83
4,9508,5429,4294,57.09928481278923,45.16196886832141,-85,-114,12231.667981386185,3fe0121df51aedd8a7c7574ad6b484ebc1c72df0216d38bfaee6be13a6fca8d8
5,9508,5434,4356,57.15187210769878,45.814051325199834,-80,-52,12244.981142997742,2e8837f9d7a0ca6ed49ce587edc18fb737d92fb7eb1c0999589eab1b811f8fde
6,9508,5410,4292,56.899453092132944,45.14093395035759,-104,-116,12240.276393413544,a330cc5ed479b67c5377a4a53e9cb2f4b1b3d8f1b581e68c093094fac765322f
7,9508,5436,4330,57.1729070256626,45.540597391670175,-78,-78,12277.63911318779,307714c758987250eebaa94e4fc75d7665c7da0ed3c81edbc6b4091dfd819a64
8,9508,5431,4345,57.12031973075305,45.69835927639882,-83,-63,12281.801498889923,214d963b8ab7c4ea4aacfaa9fadb55f036f229ef7a0de69985d45d52f75d5a56
9,9508,5463,4362,57.45687841817417,45.87715607909129,-51,-46,12319.481667041779,5ea34342b9e770d1a3a7439708c9c9fefda583c166a423b1a6b45a5e8d94f5b1
10,9508,5445,4365,57.267564156499795,45.908708456037026,-69,-43,12320.928980588913,af3b4ca85763c6742c1a20ee7f9f48484e720e922b6781f5f358a9cd1c2338ea
11,9508,5431,4361,57.12031973075305,45.86663862010938,-83,-47,12215.12015247345,e9c86f2e827a6e039f31b17a8ef142a277722c92fa4f37aad485850ee07bd6cd
12,9508,5439,4365,57.20445940260833,45.908708456037026,-75,-43,12189.830871105194,31cffba554ed284d0e6ba783c4650e7769dd38422671e3645c3dad27a3dbec8b
13,9508,5444,4374,57.25704669751788,46.00336558687421,-70,-34,12237.204387903214,ff71451f8be287953c97b49085d0941e217a06712ddbf6fb1e6e7568a4cd0b86
14,9508,5452,4387,57.34118636937316,46.140092553639036,-62,-21,12122.19837808609,964ce62668b62df63a14069eb673635624b92fd61856ad80246cf106a49406c8
15,9508,5466,4409,57.488430795119896,46.37147665124106,-48,1,12127.360778331757,52f2f28603558b6147892baa296eb602dad9f28f267ebec9b96229c010a5879b
16,9508,5442,4370,57.23601177955406,45.961295750946576,-72,-38,12170.009970664978,170cd7b4c833d399b180d5dd974b282ecb0c3883f7bd5591b592b4d3ad432951
17,9508,5460,4350,57.425326041228445,45.75094657130837,-54,-58,12131.841969013214,4ed6d5e8d3c2897b4a9a72f27d3f8bb7f0789a31b5a4edf854d4e3bd2bdace06
18,9508,5450,4381,57.32015145140934,46.076987799747585,-64,-27,12078.680170059204,d560c8438efd042a6e02180289253598fa61337ef0106c0124593c0c616cba92
19,9508,5467,4382,57.49894825410181,46.087505258729486,-47,-26,12050.672307252884,590cb4fce6d3227578d44bd8c7160dd76f188788082c928e1c7aabc4451d09af
